WARN  - 2013-12-29 16:21:01.754; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/extraction/lib).
WARN  - 2013-12-29 16:21:01.755; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
WARN  - 2013-12-29 16:21:01.756; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/clustering/lib).
WARN  - 2013-12-29 16:21:01.756; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
WARN  - 2013-12-29 16:21:01.757; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/langid/lib).
WARN  - 2013-12-29 16:21:01.757; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
WARN  - 2013-12-29 16:21:01.758; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2013-12-29 16:21:01.758; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/../../../dist).
INFO  - 2013-12-29 16:21:01.981; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-12-29 16:21:01.989; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2013-12-29 16:21:02.258; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-12-29 16:21:02.268; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-29 16:21:02.453; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-29 16:21:03.331; org.apache.solr.schema.IndexSchema; unique key field: id
